[11080:1152:0316/005150.257:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005150.496:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=Y3-PY8O-10TM&asin=B084WTRYL4&productType=GUILD_APPAREL (65)
[11080:1152:0316/005150.499:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=Y3-PY8O-10TM&asin=B084WTRYL4&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005152.105:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005152.128:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=Y3-EIM5-10TP&asin=B084X1D3Z9&productType=GUILD_APPAREL (65)
[11080:1152:0316/005152.133:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=Y3-EIM5-10TP&asin=B084X1D3Z9&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005153.013:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005153.043:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=YV-L6I3-DWBF&asin=B084WXBCW8&productType=GUILD_APPAREL (65)
[11080:1152:0316/005153.044:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=YV-L6I3-DWBF&asin=B084WXBCW8&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005154.466:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
[11080:1152:0316/005154.489:INFO:CONSOLE(65)] "[Report Only] Refused to load the script 'https://drtm5ark2s28o.cloudfront.net/boomerang-1.0.2.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=Z9-7JX6-KC28&asin=B084XBNN4J&productType=GUILD_APPAREL (65)
[11080:1152:0316/005154.491:INFO:CONSOLE(0)] "[Report Only] Refused to load the script 'https://d1t40axu4ik42k.cloudfront.net/cathodeBoomerang.afe4c1409865b3fa3290.min.js' because it violates the following Content Security Policy directive: "script-src https://*.amazon.com https://*.media-amazon.com https://*.ssl-images-amazon.com 'unsafe-inline' 'unsafe-eval'". Note that 'script-src-elem' was not explicitly set, so 'script-src' is used as a fallback.
", source: https://sellercentral.amazon.com/products/edit?marketplaceID=ATVPDKIKX0DER&ref=xx_myiedit_cont_myimain&sku=Z9-7JX6-KC28&asin=B084XBNN4J&productType=GUILD_APPAREL#offer (0)
[11080:1152:0316/005155.764:INFO:CONSOLE(1)] "[object Object] ye chalOOOO", source: chrome-extension://ljngjbnaijcbncmcnjfhigebomdlkcjo/extension/background.js (1)
